"db","lgbm","svm","rf","dt","knn","xgb","xrf","svml","lr","ridge","passive","lda","qda","nb","gbm","mlp"
"analcatdata_authorship",0.995260663507109,1,0.995260663507109,0.947867298578199,0.995260663507109,0.995260663507109,0.981042654028436,0.990521327014218,0.995260663507109,0.995260663507109,0.990521327014218,0.995260663507109,0.919431279620853,0.985781990521327,0.995260663507109,1
"analcatdata_authorship",0.985714285714286,0.995238095238095,0.980952380952381,0.876190476190476,0.995238095238095,0.985714285714286,0.980952380952381,0.995238095238095,0.995238095238095,0.995238095238095,0.995238095238095,0.995238095238095,0.895238095238095,0.985714285714286,0.985714285714286,0.990476190476191
"analcatdata_authorship",0.990476190476191,1,0.990476190476191,0.952380952380952,0.990476190476191,0.976190476190476,0.971428571428571,0.995238095238095,1,1,0.995238095238095,0.990476190476191,0.90952380952381,0.985714285714286,0.980952380952381,0.995238095238095
"analcatdata_authorship",0.980952380952381,0.990476190476191,0.980952380952381,0.904761904761905,1,0.980952380952381,0.966666666666667,1,1,1,1,1,0.904761904761905,0.990476190476191,0.971428571428571,1
"analcatdata_boxing1",0.5,0.566666666666667,0.666666666666667,0.766666666666667,0.633333333333333,0.833333333333333,0.733333333333333,0.533333333333333,0.533333333333333,0.5,0.633333333333333,0.5,0.6,0.6,0.866666666666667,0.666666666666667
"analcatdata_boxing1",0.666666666666667,0.666666666666667,0.766666666666667,0.866666666666667,0.766666666666667,0.9,0.866666666666667,0.766666666666667,0.733333333333333,0.766666666666667,0.666666666666667,0.766666666666667,0.8,0.8,0.866666666666667,0.8
"analcatdata_boxing1",0.666666666666667,0.633333333333333,0.766666666666667,0.8,0.633333333333333,0.766666666666667,0.8,0.7,0.633333333333333,0.666666666666667,0.633333333333333,0.7,0.733333333333333,0.766666666666667,0.8,0.8
"analcatdata_boxing1",0.666666666666667,0.633333333333333,0.7,0.766666666666667,0.766666666666667,0.766666666666667,0.766666666666667,0.7,0.666666666666667,0.7,0.633333333333333,0.7,0.7,0.7,0.766666666666667,0.666666666666667
"analcatdata_boxing2",0.757575757575758,0.787878787878788,0.666666666666667,0.696969696969697,0.727272727272727,0.696969696969697,0.727272727272727,0.696969696969697,0.696969696969697,0.696969696969697,0.424242424242424,0.696969696969697,0.575757575757576,0.636363636363636,0.818181818181818,0.545454545454545
"analcatdata_boxing2",0.757575757575758,0.696969696969697,0.696969696969697,0.696969696969697,0.575757575757576,0.666666666666667,0.727272727272727,0.606060606060606,0.636363636363636,0.636363636363636,0.515151515151515,0.636363636363636,0.666666666666667,0.696969696969697,0.606060606060606,0.666666666666667
"analcatdata_boxing2",0.757575757575758,0.606060606060606,0.575757575757576,0.575757575757576,0.575757575757576,0.727272727272727,0.787878787878788,0.515151515151515,0.515151515151515,0.515151515151515,0.484848484848485,0.515151515151515,0.575757575757576,0.606060606060606,0.696969696969697,0.636363636363636
"analcatdata_boxing2",0.878787878787879,0.757575757575758,0.696969696969697,0.727272727272727,0.636363636363636,0.727272727272727,0.848484848484849,0.727272727272727,0.727272727272727,0.727272727272727,0.484848484848485,0.727272727272727,0.757575757575758,0.757575757575758,0.787878787878788,0.757575757575758
"analcatdata_creditscore",1,0.84,0.92,1,0.88,1,1,0.88,0.92,0.84,0.88,0.84,0.76,1,1,0.96
"analcatdata_creditscore",0.96,0.72,0.96,0.96,0.76,0.96,0.96,1,0.8,0.72,0.88,0.72,0.8,0.8,0.96,0.76
