"db","dt","lda","lgbm","xgb","svm"
"biomed",0.83744557329463,0.842343976777939,0.875816400580552,0.890148766328011,0.885613207547169
"breast",0.93132183908046,0.951371100164203,0.964252873563219,0.961371100164204,0.957077175697865
"breast_w",0.939909688013136,0.949934318555008,0.961379310344827,0.961379310344827,0.961387520525452
"buggyCrx",0.789781892727517,0.860826387955371,0.866631939776852,0.866640341443742,0.860843191289152
"clean1",1,1,1,1,0.968487394957984
"cmc",0.454853746907034,0.512548603746907,0.524763977259338,0.524095675739366,0.543770987981619
"colic",0.760869565217391,0.83695652173913,0.815217391304348,0.815217391304348,0.641304347826087
"corral",1,0.9,1,1,1
"credit_g",0.668,0.718,0.766,0.769,0.724
"diabetes",0.713541666666667,0.772135416666667,0.747395833333333,0.7421875,0.7578125
"ionosphere",0.86889367816092,0.866150731452456,0.940210292580982,0.93158960292581,0.934495820271682
"irish",1,0.74,1,1,0.988
"molecular_b...y_promoters",0.727207977207977,0.688746438746439,0.896367521367522,0.887108262108262,0.801994301994302
"monk3",0.974754978625795,0.79248774893129,0.980163695130852,0.985585444687728,0.963911479512042
"prnn_crabs",0.88,1,0.95,0.935,0.96
"prnn_synth",0.800243215565796,0.852086533538146,0.824244751664106,0.828149001536098,0.856118791602663
"saheart",0.625712143928036,0.723050974512744,0.660157421289355,0.670970764617691,0.712162668665667
"threeOf9",0.99609375,0.80859375,1,0.998046875,0.9921875
"tokyo1",0.901996164574617,0.919708856345886,0.928055264993026,0.925971931659693,0.931184623430962
"vote",0.928771661569827,0.956315834182807,0.944826707441387,0.958673122663949,0.956315834182807
